tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
450,2014-12-05T09:58:18,2014-12-05T10:05:48,519,Pershing Square North,40.751.873,-73.977.706,465,Broadway & W 41 St,4.075.513.557,-7.398.658.032,21470,Subscriber,1950,male,
1001,2015-11-04T00:32:50,2015-11-04T00:49:32,309,Murray St & West St,407.149.787,-74.013.012,462,W 22 St & 10 Ave,4.074.691.959,-7.400.451.887,20182,Subscriber,1952,male,
526,2017-10-05T20:44:47,2017-10-05T20:53:33,408,Market St & Cherry St,4.071.076.228,-7.399.400.398,2009,Catherine St & Monroe St,4.071.117.444,-7.399.682.619,27850,Subscriber,1998,male,
1276,2016-04-24T11:19:59,2016-04-24T11:41:15,427,Bus Slip & State St,40.701.907,-74.013.942,342,Columbia St & Rivington St,4.071.739.973,-7.398.016.555,15543,Subscriber,1942,male,
371,2016-07-20T15:55:03,2016-07-20T16:01:14,501,FDR Drive & E 35 St,40.744.219,-7.397.121.214,472,E 32 St & Park Ave,407.457.121,-7.398.194.829,18622,Subscriber,1950,male,
241,2017-07-11T18:44:19,2017-07-11T18:48:21,315,South St & Gouverneur Ln,4.070.355.377,-7.400.670.227,195,Liberty St & Broadway,4.070.905.623,-7.401.043.382,15180,Subscriber,1949,male,
2049,2016-06-20T08:22:39,2016-06-20T08:56:48,406,Hicks St & Montague St,4.069.512.845,-7.399.595.065,476,E 31 St & 3 Ave,4.074.394.314,-7.397.966.069,17145,Subscriber,1998,female,
552,2016-06-02T08:17:23,2016-06-02T08:26:35,152,Warren St & Church St,4.071.473.993,-7.400.910.627,128,MacDougal St & Prince St,4.072.710.258,-7.400.297.088,15170,Subscriber,1948,male,
722,2018-04-23T11:40:48.700000,2018-04-23T11:52:51.610000,537,Lexington Ave & E 24 St,4.074.025.878,-7.398.409.214,401,Allen St & Rivington St,4.072.019.576,-7.398.997.825,33164,Subscriber,1998,male,
114,2018-05-24T15:11:34.697000,2018-05-24T15:13:29.220000,3260,Mercer St & Bleecker St,4.072.706.363.348.300,-7.399.662.137.031.550,161,LaGuardia Pl & W 3 St,4.072.917.025,-7.399.810.231,24952,Subscriber,1996,male,
1811,2017-09-14T12:18:03,2017-09-14T12:48:14,238,Bank St & Washington St,407.361.967,-7.400.859.207,238,Bank St & Washington St,407.361.967,-7.400.859.207,24933,Subscriber,1937,male,
1895,2014-05-13T17:37:55,2014-05-13T18:09:30,225,W 14 St & The High Line,4.074.195.138,-7.400.803.013,405,Washington St & Gansevoort St,40.739.323,-74.008.119,15677,Subscriber,1945,female,
499,2017-08-31T10:17:42,2017-08-31T10:26:02,161,LaGuardia Pl & W 3 St,4.072.917.025,-7.399.810.231,401,Allen St & Rivington St,4.072.019.576,-7.398.997.825,28791,Subscriber,1996,female,
562,2016-09-12T14:42:17,2016-09-12T14:51:40,229,Great Jones St,4.072.743.423,-7.399.379.025,147,Greenwich St & Warren St,4.071.542.197,-7.401.121.978,25353,Subscriber,1949,male,
422,2018-04-16T16:22:37.564000,2018-04-16T16:29:39.849000,418,Front St & Gold St,4.070.224,-73.982.578,321,Cadman Plaza E & Red Cross Pl,4.069.991.755,-7.398.971.773,25821,Subscriber,1943,male,
560,2017-05-12T16:42:14,2017-05-12T16:51:35,355,Bayard St & Baxter St,4.071.602.118,-7.399.974.372,432,E 7 St & Avenue A,4.072.621.788,-7.398.379.855,27034,Subscriber,1997,male,
